domain_accession,n_species,species_fraction,category,domain_name,description,clan_accession,clan_id
PF26058,20,1.0,core,DUF8019,Domain of unknown function (DUF8019),CL0056,C_Lectin
PF26022,20,1.0,core,CC_Liprin_beta,"Liprin beta, coiled-coil domain",,
PF25972,20,1.0,core,At4g15545_C,"At4g15545-like, C-terminal domain",CL0829,PAH
PF25904,20,1.0,core,Tmrp11_N,Tmrp11 THUMP N-terminal domain,,
PF25809,20,1.0,core,STEEP1,STEEP1 domain,CL0080,Beta-tent
PF25795,20,1.0,core,TPR_XPO7,"Exportin-7-like, TPR domain",CL0020,TPR
PF25780,20,1.0,core,TPR_IPO5,"IPO5-like, TPR repeats",CL0020,TPR
PF25596,20,1.0,core,CPSase_L_D1,Carbamoyl phosphate synthase preATP-grasp domain,CL0063,NADP_Rossmann
PF25574,20,1.0,core,TPR_IMB1,"Importin subunit beta-1-like, TPR repeats",CL0020,TPR
PF25573,20,1.0,core,TPR_PSMD3_N,"PSMD3-like, N-terminal TPR repeats",CL0020,TPR
PF24632,20,1.0,core,DUF7629,Domain of unknown function (DUF7629),CL0159,E-set
PF24549,20,1.0,core,DUF7602,Domain of unknown function (DUF7602),CL0123,HTH
PF22365,20,1.0,core,PfNDH2_hel_ins,PfNDH2 helical insertion domain,,
PF23097,20,1.0,core,NOL10_2nd,"Nucleolar protein 10-like, second domain",,
PF23042,20,1.0,core,KOW1_SPT5,"Transcription elongation factor SPT5, KOW1 domain",CL0010,SH3
PF23023,20,1.0,core,Anti-Pycsar_Apyc1,Anti-Pycsar protein Apyc1,CL0381,Metallo-HOrase
PF22941,20,1.0,core,TADA2A-like_3rd,Transcriptional adapter 2-alpha-like domain,,
PF22919,20,1.0,core,ATP-synt_VA_C,C-terminal domain of V and A type ATP synthase,,
PF22916,20,1.0,core,UTP25_NTPase-like,"UTP25, NTP hydrolase-like domain",CL0023,P-loop_NTPase
PF22912,20,1.0,core,zf-DPOE,Zinc finger domain of DNA polymerase-epsilon,,
PF22891,20,1.0,core,KH_PNO1_2nd,Eukaryotic type KH-domain (KH-domain type I),CL0007,KH
PF22890,20,1.0,core,TPR_EMC2,EMC2 TPR-like repeat domain,CL0020,TPR
PF22794,20,1.0,core,jr-ZPR1,ZPR1 jelly-roll domain,,
PF22785,20,1.0,core,Tc-R-P,"Polymorphic toxin system, DSP-PTPase phosphatase",CL0031,Phosphatase
PF22675,20,1.0,core,KH-I_KHDC4-BBP,"KHDC4/BBP-like, KH-domain type I",CL0007,KH
PF22669,20,1.0,core,Exo_endo_phos2,Endonuclease/Exonuclease/phosphatase family 2,CL0530,DNase_I-like
PF22646,20,1.0,core,PPP2R1A-like_HEAT,PPP2R1A-like HEAT repeat,CL0020,TPR
PF22634,20,1.0,core,POL2_thumb,"DNA polymerase epsilon catalytic subunit A, thumb domain",CL0194,DNA_pol_B-like
PF22614,20,1.0,core,Slo-like_RCK,Calcium-activated potassium channel slowpoke-like RCK domain,CL0063,NADP_Rossmann
PF22613,20,1.0,core,Transketolase_C_1,Transketolase-like TK C-terminal domain,CL0591,TKC_like
PF22600,20,1.0,core,MTPAP-like_central,"Poly(A) RNA polymerase, mitochondrial-like, central palm domain",CL0260,NTP_transf
PF22597,20,1.0,core,DYN_lid,"Dynein heavy chain, ATPase lid domain",CL0671,AAA_lid
PF22594,20,1.0,core,GTP-eEF1A_C,GTP-eEF1A C-terminal domain-like,CL0740,GCV_T_C
PF22591,20,1.0,core,eIF3a_PCI_TPR-like,"eIF3a, PCI domain, TPR-like region",CL0020,TPR
PF22528,20,1.0,core,PRMT_C,Arginine methyltransferase oligomerization subdomain,CL0799,PRMT_C
PF22527,20,1.0,core,DEXQc_Suv3,DEXQ-box helicase domain of Suv3,CL0023,P-loop_NTPase
PF22516,20,1.0,core,PreP_C,PreP C-terminal domain,CL0094,Peptidase_ME
PF22458,20,1.0,core,RsmF-B_ferredox,"Methyltr_RsmF/B-like, ferredoxin-like domain",CL0795,NSUN_ferredox
PF22366,20,1.0,core,NDH2_C,NDH2 C-terminal domain,,
PF23082,20,1.0,core,Myb_DNA-binding_2,Myb-like DNA-binding domain,CL0123,HTH
PF23098,20,1.0,core,Beta-prop_NOL10_N,"Nucleolar protein 10-like, N-terminal domain",CL0186,Beta_propeller
PF24161,20,1.0,core,CCDC39,Coiled-coil domain-containing protein 39,,
PF23122,20,1.0,core,C2_ITFG1,"ITFG1, C2 domain",CL0154,C2
PF24055,20,1.0,core,POL3_N,"DNA polymerase delta catalytic subunit-like, N-terminal domain",,
PF23953,20,1.0,core,TPR_COPA_B,COPA/B TPR domain,CL0020,TPR
PF23726,20,1.0,core,Beta-prop_RSE1_2nd,RSE1/DDB1/CPSF1 second beta-propeller,CL0186,Beta_propeller
PF23634,20,1.0,core,PH_CERLI1,CERLI1-like PH domain,CL0266,PH
PF23627,20,1.0,core,LisH_WDR26,WDR26 Lis-homology domain,CL0561,LisH
PF23609,20,1.0,core,Beta-prop_EIPR1,EIPR1 beta-propeller,CL0186,Beta_propeller
PF23602,20,1.0,core,CS_DNAAF11_C,"Dynein axonemal assembly factor 11-like, CS domain",CL0190,HSP20
PF23594,20,1.0,core,RPN11_C,26S proteasome regulatory subunit RPN11 C-terminal domain,,
PF23553,20,1.0,core,NELF-A_N,NELF-A N-terminal domain,CL0020,TPR
PF23535,20,1.0,core,Microp_apicomplexa_21,Apicomplexa microprotein,,
PF23523,20,1.0,core,Microp_apicomplexa_13,Apicomplexa microprotein,,
PF23512,20,1.0,core,Microp_apicomplexa_8,Apicomplexa microprotein,,
PF23445,20,1.0,core,WHD_SNRNP200,Winged Helix-turn-helix domain,CL0123,HTH
PF23358,20,1.0,core,OST48_MD,OST48 middle domain,CL0159,E-set
PF23302,20,1.0,core,HTH_DNAJC9,DNAJC9 HTH domain,CL0123,HTH
PF23250,20,1.0,core,zf_DPOE_2,Zinc finger domain of DNA polymerase-epsilon,,
PF23242,20,1.0,core,AAA_lid_TRIP13_C,"TRIP13-like, AAA+ ATPase lid C-terminal domain",CL0671,AAA_lid
PF23240,20,1.0,core,HAT_PRP39_N,PRP39 N-terminal HAT repeat,CL0020,TPR
PF23233,20,1.0,core,HAT_Syf1_CNRKL1_N,Pre-mRNA-splicing factor Syf1/CNRKL1 N-terminal HAT repeat,CL0020,TPR
PF23231,20,1.0,core,HAT_Syf1_CNRKL1_C,Pre-mRNA-splicing factor Syf1/CRNKL1 C-terminal HAT repeat,CL0020,TPR
PF23220,20,1.0,core,HAT_Syf1_M,Pre-mRNA-splicing factor SYF1 middle HAT repeat,CL0020,TPR
PF23195,20,1.0,core,UBQLN1,Ubiquilin-1-like domain,,
PF23152,20,1.0,core,GDH_2nd,"NAD-specific glutamate dehydrogenase, second domain",CL0070,ACT
PF23147,20,1.0,core,GDH2_N,"NAD-dependent glutamate dehydrogenase, N-terminal domain",,
PF23128,20,1.0,core,C2CD5_C,"C2CD5, C-terminal domain",CL0522,YbjQ-like
PF16858,20,1.0,core,CNDH2_C,"Condensin II complex subunit CAP-H2 or CNDH2, C-terminal wHTH domain",CL0123,HTH
PF16740,20,1.0,core,SKA2,Spindle and kinetochore-associated protein 2,,
PF10507,20,1.0,core,TMEM65,Transmembrane protein 65 ,,
PF13085,20,1.0,core,Fer2_3,2Fe-2S iron-sulfur cluster binding domain,CL0486,Fer2
PF13000,20,1.0,core,Acatn,Acetyl-coenzyme A transporter 1,CL0015,MFS
PF12948,20,1.0,core,MSP7_C,MSP7-like protein C-terminal domain,,
PF12947,20,1.0,core,EGF_3,EGF domain,CL0001,EGF
PF12946,20,1.0,core,EGF_MSP1_1,MSP1 EGF domain 1,CL0001,EGF
PF12936,20,1.0,core,Kri1_C,KRI1-like family C-terminal,,
PF12931,20,1.0,core,TPR_Sec16,Sec16 Sec23-binding domain,CL0020,TPR
PF12906,20,1.0,core,RINGv,RING-variant domain,CL0229,RING
PF12874,20,1.0,core,zf-met,Zinc-finger of C2H2 type,CL0361,C2H2-zf
PF12872,20,1.0,core,OST-HTH,OST-HTH/LOTUS domain,CL0123,HTH
PF12850,20,1.0,core,Metallophos_2,Calcineurin-like phosphoesterase superfamily domain,CL0163,Calcineurin
PF12848,20,1.0,core,ABC_tran_Xtn,ABC transporter,CL0023,P-loop_NTPase
PF12842,20,1.0,core,DUF3819,"CCR4-Not complex, Not1 subunit, domain of unknown function DUF3819",,
PF12799,20,1.0,core,LRR_4,Leucine Rich repeats (2 copies),CL0022,LRR
PF12796,20,1.0,core,Ank_2,Ankyrin repeats (3 copies),CL0465,Ank
PF12781,20,1.0,core,AAA_9,ATP-binding dynein motor region,CL0023,P-loop_NTPase
PF12780,20,1.0,core,AAA_8,P-loop containing dynein motor region D4,CL0023,P-loop_NTPase
PF12777,20,1.0,core,MT,Microtubule-binding stalk of dynein motor,,
PF12775,20,1.0,core,AAA_7,P-loop containing dynein motor region,CL0023,P-loop_NTPase
PF12774,20,1.0,core,AAA_6,Hydrolytic ATP binding site of dynein motor region,CL0023,P-loop_NTPase
PF12769,20,1.0,core,PNTB_4TM,"4TM region of pyridine nucleotide transhydrogenase, mitoch",,
PF12763,20,1.0,core,EH,EH domain,CL0220,EF_hand
PF12756,20,1.0,core,zf-C2H2_2,C2H2 type zinc-finger (2 copies),CL0361,C2H2-zf
PF12755,20,1.0,core,Vac14_Fab1_bd,Vacuolar 14 Fab1-binding region,CL0020,TPR
PF12752,20,1.0,core,SUZ,SUZ domain,,
PF12717,20,1.0,core,Cnd1,non-SMC mitotic condensation complex subunit 1,CL0020,TPR
PF13012,20,1.0,core,MitMem_reg,Maintenance of mitochondrial structure and function,,
PF13086,20,1.0,core,AAA_11,AAA domain,CL0023,P-loop_NTPase
PF12701,20,1.0,core,LSM14,Scd6-like Sm domain,CL0986,Sm-like
PF13087,20,1.0,core,AAA_12,AAA domain,CL0023,P-loop_NTPase
PF13513,20,1.0,core,HEAT_EZ,HEAT-like repeat,CL0020,TPR
PF13499,20,1.0,core,EF-hand_7,EF-hand domain pair,CL0220,EF_hand
PF13489,20,1.0,core,Methyltransf_23,Methyltransferase domain,CL0063,NADP_Rossmann
PF13481,20,1.0,core,AAA_25,AAA domain,CL0023,P-loop_NTPase
PF13476,20,1.0,core,AAA_23,AAA domain,CL0023,P-loop_NTPase
PF13450,20,1.0,core,NAD_binding_8,NAD(P)-binding Rossmann-like domain,CL0063,NADP_Rossmann
PF13445,20,1.0,core,zf-RING_UBOX,RING-type zinc-finger,CL0229,RING
PF13414,20,1.0,core,TPR_11,TPR repeat,CL0020,TPR
PF13398,20,1.0,core,Peptidase_M50B,Peptidase M50B-like,CL0126,Peptidase_MA
PF13393,20,1.0,core,tRNA-synt_His,Histidyl-tRNA synthetase,CL0040,tRNA_synt_II
PF13385,20,1.0,core,Laminin_G_3,Concanavalin A-like lectin/glucanases superfamily,CL0004,Concanavalin
PF13380,20,1.0,core,CoA_binding_2,CoA binding domain,CL0063,NADP_Rossmann
PF13361,20,1.0,core,UvrD_C,UvrD-like helicase C-terminal domain,CL0023,P-loop_NTPase
PF13344,20,1.0,core,Hydrolase_6,Haloacid dehalogenase-like hydrolase,CL0137,HAD
PF13307,20,1.0,core,Helicase_C_2,Helicase C-terminal domain,CL0023,P-loop_NTPase
PF13292,20,1.0,core,DXP_synthase_N,1-deoxy-D-xylulose-5-phosphate synthase,CL0254,THDP-binding
PF13288,20,1.0,core,DXPR_C,DXP reductoisomerase C-terminal domain,CL0063,NADP_Rossmann
PF13246,20,1.0,core,Cation_ATPase,"P-type ATPase, cytoplasmic domain N",CL0137,HAD
PF13242,20,1.0,core,Hydrolase_like,HAD-hyrolase-like,CL0137,HAD
PF13238,20,1.0,core,AAA_18,AAA domain,CL0023,P-loop_NTPase
PF13202,20,1.0,core,EF-hand_5,EF hand,CL0220,EF_hand
PF13193,20,1.0,core,AMP-binding_C,AMP-binding enzyme C-terminal domain,CL0531,AMP-binding_C
PF13181,20,1.0,core,TPR_8,Tetratricopeptide repeat,CL0020,TPR
PF13167,20,1.0,core,GTP-bdg_N,GTP-binding GTPase N-terminal,,
PF13091,20,1.0,core,PLDc_2,"Cardiolipin synthase, PLD-like domain",CL0479,PLD
PF12706,20,1.0,core,Lactamase_B_2,Beta-lactamase superfamily domain,CL0381,Metallo-HOrase
PF12678,20,1.0,core,zf-rbx1,RING-H2 zinc finger domain,CL0229,RING
PF13522,20,1.0,core,GATase_6,Glutamine amidotransferase domain,CL0052,NTN
PF11835,20,1.0,core,RRM_8,RRM-like domain,CL0221,RRM
PF11718,20,1.0,core,CPSF73-100_C,Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term,,
PF11717,20,1.0,core,Tudor-knot,RNA binding activity-knot of a chromodomain ,CL0010,SH3
PF11708,20,1.0,core,Slu7,Pre-mRNA splicing Prp18-interacting factor,,
PF11698,20,1.0,core,V-ATPase_H_C,V-ATPase subunit H,CL0020,TPR
PF11677,20,1.0,core,DUF3273,Protein of unknown function (DUF3273),,
PF11567,20,1.0,core,PfUIS3,Plasmodium falciparum UIS3 membrane protein,,
PF11556,20,1.0,core,EBA-175_VI,Erythrocyte binding antigen 175,,
PF11543,20,1.0,core,UN_NPL4,Nuclear pore localisation protein NPL4,CL0072,Ubiquitin
PF11539,20,1.0,core,DUF3228,Protein of unknown function (DUF3228),,
PF11362,20,1.0,core,DUF3161,Protein of unknown function (DUF3161),CL0123,HTH
PF11262,20,1.0,core,Tho2,Transcription factor/nuclear export subunit protein 2,,
PF11145,20,1.0,core,DUF2921,Transmembrane E3 ligase/DUF2921 transmembrane domain,CL0141,MtN3-like
PF11069,20,1.0,core,CFAP298,Cilia- and flagella-associated protein 298,,
PF10996,20,1.0,core,Beta-Casp,Beta-Casp domain,CL0023,P-loop_NTPase
PF10609,20,1.0,core,ParA,NUBPL iron-transfer P-loop NTPase,CL0023,P-loop_NTPase
PF10607,20,1.0,core,CTLH,CTLH/CRA C-terminal to LisH motif domain,CL0825,CTLH
PF10602,20,1.0,core,RPN7,26S proteasome subunit RPN7,CL0020,TPR
PF10598,20,1.0,core,RRM_4,RNA recognition motif of the spliceosomal PrP8,,
PF10597,20,1.0,core,U5_2-snRNA_bdg,U5-snRNA binding site 2 of PrP8,,
PF10596,20,1.0,core,U6-snRNA_bdg,U6-snRNA interacting domain of PrP8,CL0363,H-int
PF10585,20,1.0,core,UBA_E1_SCCH,"Ubiquitin-activating enzyme, SCCH domain",,
PF10584,20,1.0,core,Proteasome_A_N,Proteasome subunit A N-terminal signature,CL0052,NTN
PF10561,20,1.0,core,C2orf69,C2orf69,CL0028,AB_hydrolase
PF10559,20,1.0,core,Plug_translocon,Plug domain of Sec61p,,
PF10516,20,1.0,core,SHNi-TPR,SHNi-TPR,CL0020,TPR
PF11831,20,1.0,core,Myb_Cef,pre-mRNA splicing factor component,,
PF11875,20,1.0,core,DnaJ-like_C11_C,"DnaJ-like protein C11, C-terminal",CL0881,SUEL-RBL_sf
PF12628,20,1.0,core,Inhibitor_I71,"Falstatin, cysteine peptidase inhibitor",CL0159,E-set
PF11916,20,1.0,core,Vac14_Fig4_bd,Vacuolar protein 14 C-terminal Fig4p binding,,
PF12569,20,1.0,core,NatA_aux_su,"N-terminal acetyltransferase A, auxiliary subunit",CL0020,TPR
PF12542,20,1.0,core,CWC25,Pre-mRNA splicing factor,,
PF12513,20,1.0,core,SUV3_C,ATP-dependent RNA helicase SUV3 C-terminal domain,CL0745,MIT
PF12430,20,1.0,core,ABA_GPCR,Abscisic acid G-protein coupled receptor ,,
PF12359,20,1.0,core,DUF3645,Protein of unknown function (DUF3645) ,,
PF12341,20,1.0,core,Mcl1_mid,"Minichromosome loss protein, Mcl1, middle region",CL0186,Beta_propeller
PF12319,20,1.0,core,TryThrA_C,Tryptophan-Threonine-rich plasmodium antigen C terminal,,
PF12314,20,1.0,core,IMCp,Inner membrane complex protein,,
PF12265,20,1.0,core,CAF1C_H4-bd,Histone-binding protein RBBP4 or subunit C of CAF1 complex,CL0186,Beta_propeller
PF12251,20,1.0,core,SNAPC3,"snRNA-activating protein complex (SNAPc), subunit 3",,
PF12246,20,1.0,core,MKT1_C,Temperature dependent protein affecting M2 dsRNA replication,,
PF12230,20,1.0,core,PRP21_like_P,Pre-mRNA splicing factor PRP21 like protein,,
PF12220,20,1.0,core,U1snRNP70_N,U1 small nuclear ribonucleoprotein of 70kDa MW N terminal,CL0221,RRM
PF12171,20,1.0,core,zf-C2H2_jaz,Zinc-finger double-stranded RNA-binding,CL0361,C2H2-zf
PF12146,20,1.0,core,Hydrolase_4,"Serine aminopeptidase, S33",CL0028,AB_hydrolase
PF12134,20,1.0,core,PRP8_domainIV,PRP8 domain IV core,CL0219,RNase_H
PF12108,20,1.0,core,SF3a60_bindingd,Splicing factor SF3a60 binding domain,,
PF12037,20,1.0,core,ATAD3_N,"ATPase family AAA domain-containing protein 3, N-terminal",,
PF12002,20,1.0,core,MgsA_C,MgsA AAA+ ATPase C terminal,CL0604,post-AAA
PF11987,20,1.0,core,IF-2,Translation-initiation factor 2,,
PF11976,20,1.0,core,Rad60-SLD,Ubiquitin-2 like Rad60 SUMO-like,CL0072,Ubiquitin
PF11952,20,1.0,core,XTBD,"XRN-Two Binding Domain, XTBD",,
PF11940,20,1.0,core,DUF3458,Domain of unknown function (DUF3458) Ig-like fold,CL0159,E-set
PF11931,20,1.0,core,SF3a60_Prp9_C,SF3a60/Prp9 C-terminal,CL0361,C2H2-zf
PF11919,20,1.0,core,PSME4_C,"Proteasome activator complex subunit 4-like, C-terminal",,
PF13519,20,1.0,core,VWA_2,von Willebrand factor type A domain,CL0128,vWA-like
PF13534,20,1.0,core,Fer4_17,4Fe-4S dicluster domain,CL0344,4Fe-4S
PF16661,20,1.0,core,Lactamase_B_6,Metallo-beta-lactamase superfamily domain,CL0381,Metallo-HOrase
PF16123,20,1.0,core,HAGH_C,Hydroxyacylglutathione hydrolase C-terminus,CL0381,Metallo-HOrase
PF16113,20,1.0,core,ECH_2,Enoyl-CoA hydratase/isomerase,CL0127,ClpP_crotonase
PF15985,20,1.0,core,KH_6,KH domain,CL0007,KH
PF15902,20,1.0,core,Sortilin-Vps10,"Sortilin, neurotensin receptor 3,",CL0186,Beta_propeller
PF15901,20,1.0,core,Sortilin_C,"Sortilin, neurotensin receptor 3, C-terminal",,
PF15867,20,1.0,core,Dynein_attach_N,Dynein attachment factor N-terminus,,
PF15863,20,1.0,core,EELM2,Extended EGL-27 and MTA1 homology domain,,
PF15861,20,1.0,core,partial_CstF,Partial cleavage stimulation factor domain,,
PF15801,20,1.0,core,zf-C6H2,"zf-MYND-like zinc finger, mRNA-binding",CL0175,TRASH
PF15375,20,1.0,core,FSAF1,40S small subunit processome assembly factor 1,,
PF15247,20,1.0,core,SLBP_RNA_bind,Histone RNA hairpin-binding protein RNA-binding domain,,
PF15072,20,1.0,core,HROB,Homologous recombination OB-fold protein,CL0021,OB
PF14997,20,1.0,core,CECR6_TMEM121,CECR6/TMEM121 family,,
PF14938,20,1.0,core,SNAP,"Soluble NSF attachment protein, SNAP",CL0020,TPR
PF14853,20,1.0,core,Fis1_TPR_C,Fis1 C-terminal tetratricopeptide repeat,CL0020,TPR
PF14826,20,1.0,core,FACT-Spt16_Nlob,FACT complex subunit SPT16 N-terminal lobe domain,CL0356,AMP_N-like
PF14806,20,1.0,core,Coatomer_b_Cpla,Coatomer beta subunit appendage platform,CL0545,APCOP-app_sub
PF14775,20,1.0,core,NYD-SP28_assoc,Sperm tail C-terminal domain,,
PF14769,20,1.0,core,CLAMP,Flagellar C1a complex subunit C1a-32,,
PF14748,20,1.0,core,P5CR_dimer,Pyrroline-5-carboxylate reductase dimerisation,CL0106,6PGD_C
PF14738,20,1.0,core,CFAP91,Cilia- and flagella-associated protein 91,,
PF14733,20,1.0,core,ACDC,AP2-coincident C-terminal,,
PF14732,20,1.0,core,UAE_UbL,Ubiquitin/SUMO-activating enzyme ubiquitin-like domain,,
PF14714,20,1.0,core,KH_dom-like,"KH-domain-like of EngA bacterial GTPase enzymes, C-terminal",,
PF14713,20,1.0,core,DUF4464,Domain of unknown function (DUF4464),,
PF14700,20,1.0,core,RPOL_N,DNA-directed RNA polymerase N-terminal,,
PF16121,20,1.0,core,40S_S4_C,40S ribosomal protein S4 C-terminus,,
PF16124,20,1.0,core,RecQ_Zn_bind,RecQ zinc-binding,,
PF14687,20,1.0,core,DUF4460,Domain of unknown function (DUF4460),,
PF16131,20,1.0,core,Torus,Torus domain,CL0537,CCCH_zf
PF16575,20,1.0,core,CLP1_P,mRNA cleavage and polyadenylation factor CLP1 P-loop,CL0023,P-loop_NTPase
PF16573,20,1.0,core,CLP1_N,N-terminal beta-sandwich domain of polyadenylation factor,,
PF16543,20,1.0,core,DFRP_C,"DRG Family Regulatory Proteins, Tma46",,
PF16531,20,1.0,core,SAS-6_N,Centriolar protein SAS N-terminal domain,CL0777,XRCC4_N
PF16450,20,1.0,core,Prot_ATP_ID_OB_C,Proteasomal ATPase OB C-terminal domain,CL0021,OB
PF16417,20,1.0,core,CNOT1_TTP_bind,CCR4-NOT transcription complex subunit 1 TTP binding domain,CL0020,TPR
PF16413,20,1.0,core,Mlh1_C,DNA mismatch repair protein Mlh1 C-terminus,,
PF16399,20,1.0,core,Aquarius_N_1st,Intron-binding protein aquarius N-terminal,CL0020,TPR
PF16381,20,1.0,core,Coatomer_g_Cpla,Coatomer subunit gamma-1 C-terminal appendage platform,CL0545,APCOP-app_sub
PF16363,20,1.0,core,GDP_Man_Dehyd,"GDP-mannose 4,6 dehydratase",CL0063,NADP_Rossmann
PF16320,20,1.0,core,Ribosomal_L12_N,Ribosomal protein L7/L12 dimerisation domain,,
PF16300,20,1.0,core,WD40_4,Type of WD40 repeat,CL0186,Beta_propeller
PF16282,20,1.0,core,SANT_DAMP1_like,SANT/Myb-like domain of DAMP1,CL0123,HTH
PF16275,20,1.0,core,SF1-HH,Splicing factor 1 helix-hairpin domain,,
PF16212,20,1.0,core,PhoLip_ATPase_C,Phospholipid-translocating P-type ATPase C-terminal,CL0137,HAD
PF16211,20,1.0,core,Histone_H2A_C,C-terminus of histone H2A,,
PF16209,20,1.0,core,PhoLip_ATPase_N,Phospholipid-translocating ATPase N-terminal,,
PF16205,20,1.0,core,Ribosomal_S17_N,Ribosomal_S17 N-terminal,,
PF16203,20,1.0,core,ERCC3_RAD25_C,ERCC3/RAD25/XPB C-terminal helicase,CL0023,P-loop_NTPase
PF16199,20,1.0,core,Radical_SAM_C,Radical_SAM C-terminal domain,,
PF16198,20,1.0,core,TruB_C_2,tRNA pseudouridylate synthase B C-terminal domain,CL0649,PseudoU_synth
PF16189,20,1.0,core,Creatinase_N_2,Creatinase/Prolidase N-terminal domain,CL0356,AMP_N-like
PF16188,20,1.0,core,Peptidase_M24_C,C-terminal region of peptidase_M24,,
PF16186,20,1.0,core,Arm_3,Atypical Arm repeat ,CL0020,TPR
PF16177,20,1.0,core,ACAS_N,Acetyl-coenzyme A synthetase N-terminus,CL0378,ANL
PF14691,20,1.0,core,Fer4_20,"Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster",CL0344,4Fe-4S
PF14655,20,1.0,core,RAB3GAP2_N,Rab3 GTPase-activating protein regulatory subunit N-terminus,CL0186,Beta_propeller
PF13537,20,1.0,core,GATase_7,Glutamine amidotransferase domain,CL0052,NTN
PF13920,20,1.0,core,zf-C3HC4_3,"Zinc finger, C3HC4 type (RING finger)",CL0229,RING
PF13898,20,1.0,core,MINDY-3_4_CD,"Deubiquitinating enzyme MINDY-3/4, conserved domain",,
PF13869,20,1.0,core,NUDIX_2,Nucleotide hydrolase,CL0261,NUDIX
PF13868,20,1.0,core,TPH,Trichohyalin-plectin-homology domain,,
PF13865,20,1.0,core,FoP_duplication,C-terminal duplication domain of Friend of PRMT1,,
PF13862,20,1.0,core,BCCIP,BCCIP,,
PF13851,20,1.0,core,GAS,Growth-arrest specific micro-tubule binding,,
PF13848,20,1.0,core,Thioredoxin_6,Thioredoxin-like domain,CL0172,Thioredoxin
PF13847,20,1.0,core,Methyltransf_31,Methyltransferase domain,CL0063,NADP_Rossmann
PF13832,20,1.0,core,zf-HC5HC2H_2,PHD-zinc-finger like domain,CL0229,RING
PF13793,20,1.0,core,Pribosyltran_N,N-terminal domain of ribose phosphate pyrophosphokinase,CL0533,PRTase-like
PF13774,20,1.0,core,Longin,Regulated-SNARE-like domain,CL0431,PF
PF13771,20,1.0,core,zf-HC5HC2H,PHD-like zinc-binding domain,CL0229,RING
PF13716,20,1.0,core,CRAL_TRIO_2,Divergent CRAL/TRIO domain,CL0512,CRAL_TRIO
PF13664,20,1.0,core,DUF4149,Domain of unknown function (DUF4149),CL0430,CopD_like
PF13656,20,1.0,core,RNA_pol_L_2,RNA polymerase Rpb3/Rpb11 dimerisation domain,CL0509,RBP11-like
PF13646,20,1.0,core,HEAT_2,HEAT repeats,CL0020,TPR
PF13639,20,1.0,core,zf-RING_2,Ring finger domain,CL0229,RING
PF13637,20,1.0,core,Ank_4,Ankyrin repeats (many copies),CL0465,Ank
PF13625,20,1.0,core,Helicase_C_3,Helicase conserved C-terminal domain,,
PF13621,20,1.0,core,Cupin_8,Cupin-like domain,CL0029,Cupin
PF13607,20,1.0,core,Succ_CoA_lig,Succinyl-CoA ligase like flavodoxin domain,CL0506,Succ_CoA_synth
PF13589,20,1.0,core,HATPase_c_3,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",CL0025,His_Kinase_A
PF13561,20,1.0,core,adh_short_C2,Enoyl-(Acyl carrier protein) reductase,CL0063,NADP_Rossmann
PF13549,20,1.0,core,ATP-grasp_5,ATP-grasp domain,CL0179,ATP-grasp
PF13540,20,1.0,core,RCC1_2,Regulator of chromosome condensation (RCC1) repeat,CL0186,Beta_propeller
PF13905,20,1.0,core,Thioredoxin_8,Thioredoxin-like,CL0172,Thioredoxin
PF13921,20,1.0,core,Myb_DNA-bind_6,Myb-like DNA-binding domain,CL0123,HTH
PF14635,20,1.0,core,HHH_7,Helix-hairpin-helix motif                       ,CL0198,HHH
PF13932,20,1.0,core,SAM_GIDA_C,tRNA modifying enzyme MnmG/GidA C-terminal helical bundle,CL0003,SAM
PF14630,20,1.0,core,ORC5_C,Origin recognition complex (ORC) subunit 5 C-terminus,CL0123,HTH
PF14580,20,1.0,core,LRR_9,Leucine-rich repeat,CL0022,LRR
PF14578,20,1.0,core,GTP_EFTU_D4,Elongation factor Tu domain 4,CL0866,ALR_C-like
PF14573,20,1.0,core,PP-binding_2,Acyl-carrier,CL0314,PP-binding
PF14572,20,1.0,core,Pribosyl_synth,Phosphoribosyl synthetase-associated domain,CL0533,PRTase-like
PF14570,20,1.0,core,zf-RING_4,RING/Ubox like zinc-binding domain,CL0229,RING
PF14560,20,1.0,core,Ubiquitin_2,Ubiquitin-like domain,CL0072,Ubiquitin
PF14551,20,1.0,core,MCM_N,MCM N-terminal domain,CL0903,MCM_N
PF14543,20,1.0,core,TAXi_N,Xylanase inhibitor N-terminal,CL0129,Peptidase_AA
PF14523,20,1.0,core,Syntaxin_2,Syntaxin-like protein,CL0445,SNARE-fusion
PF14520,20,1.0,core,HHH_5,SAM-like Helix-hairpin-helix tandem,CL0198,HHH
PF14500,20,1.0,core,MMS19_N,Dos2-interacting transcription regulator of RNA-Pol-II,,
PF14497,20,1.0,core,GST_C_3,"Glutathione S-transferase, C-terminal domain",CL0497,GST_C
PF14492,20,1.0,core,EFG_III,"Elongation Factor G, domain III",CL0437,EF-G_C
PF14418,20,1.0,core,OHA,OST-HTH Associated domain,,
PF14413,20,1.0,core,Thg1C,Thg1 C terminal domain,,
PF14381,20,1.0,core,EDR1_CTR1_ARMC3_pept,"EDR1/CTR1/ARMC3, peptidase-like",CL0125,Peptidase_CA
