domain_accession,n_carriers,n_species_present,n_species_absent,avoidance_score,expected_species_absent,excess_absence,poisson_binomial_p,n_clades_present,n_clades_absent,clade_avoidance_score,absent_clades,present_species,q_value,significant_q05,domain_name,description,clan_accession,clan_id
PF10639,15,13,7,0.35,9.681,-2.681,0.9270546694293496,7,0,0.0,,Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium ovale; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium yoelii,1.0,False,TMEM234,Putative transmembrane family 234,CL0184,DMT
PF05502,11,11,9,0.45,11.683,-2.683,0.9287143453693938,5,2,0.2857,Laverania (human); rodent,Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vivax,1.0,False,Dynactin_p62,Dynactin p62 family,,
PF16004,15,13,7,0.35,9.683,-2.683,0.9270664981374639,6,1,0.1429,"primate (simian, zoonotic)",Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium yoelii,1.0,False,EFTUD2,116 kDa U5 small nuclear ribonucleoprotein component N-terminus,,
PF16589,15,13,7,0.35,9.684,-2.684,0.927073362904607,6,1,0.1429,"primate (simian, zoonotic)",Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium yoelii,1.0,False,BRCT_2,BRCT domain,CL0459,BRCT-like
PF24987,15,13,7,0.35,9.684,-2.684,0.927073362904607,6,1,0.1429,"primate (simian, zoonotic)",Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium yoelii,1.0,False,HEAT_EF3_N,EF3 N-terminal HEAT repeat,CL0020,TPR
PF01344,36,19,1,0.05,3.684,-2.684,0.9837953828384444,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,Kelch_1,Kelch motif,CL0186,Beta_propeller
PF23231,43,20,0,0.0,2.688,-2.688,1.0000000000000002,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,HAT_Syf1_CNRKL1_C,Pre-mRNA-splicing factor Syf1/CRNKL1 C-terminal HAT repeat,CL0020,TPR
PF23284,11,11,9,0.45,11.692,-2.692,0.9290439410051491,4,3,0.4286,Laverania (ape); Laverania (human); rodent,Plasmodium brasilianum; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium vivax,1.0,False,KOW2_Spt5,"Transcription elongation factor SPT5, second KOW domain",CL0010,SH3
PF00444,11,11,9,0.45,11.694,-2.694,0.9289582772159235,7,0,0.0,,Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium reichenowi; Plasmodium relictum,1.0,False,Ribosomal_L36,Ribosomal protein L36,,
PF13180,11,11,9,0.45,11.694,-2.694,0.9289588366958882,6,1,0.1429,rodent,Plasmodium coatneyi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium reichenowi; Plasmodium relictum,1.0,False,PDZ_2,PDZ domain,CL0466,PDZ-like
PF00334,43,20,0,0.0,2.694,-2.694,0.9999999999999998,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,NDK,Nucleoside diphosphate kinase,,
PF07986,43,20,0,0.0,2.696,-2.696,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,TBCC,Tubulin binding cofactor C,CL0391,CAP_C-like
PF00365,43,20,0,0.0,2.697,-2.697,1.0000000000000002,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,PFK,Phosphofructokinase,CL0240,PFK
PF09066,43,20,0,0.0,2.697,-2.697,1.0000000000000002,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,B2-adapt-app_C,"Beta2-adaptin appendage, C-terminal sub-domain",CL0545,APCOP-app_sub
PF10075,43,20,0,0.0,2.697,-2.697,1.0000000000000002,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,CSN8_PSD8_EIF3K,CSN8/PSMD8/EIF3K family,CL0123,HTH
PF17832,43,20,0,0.0,2.697,-2.697,0.9999999999999999,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,Pre-PUA,Pre-PUA-like domain,CL0668,Pre-PUA
PF12234,11,11,9,0.45,11.698,-2.698,0.9291200347453481,4,3,0.4286,Laverania (ape); avian; rodent,Plasmodium brasilianum; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium vivax,1.0,False,Rav1p_C,RAVE protein 1 C terminal,,
PF00268,43,20,0,0.0,2.698,-2.698,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,Ribonuc_red_sm,"Ribonucleotide reductase, small chain",CL0044,Ferritin
PF00609,43,20,0,0.0,2.698,-2.698,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,DAGK_acc,Diacylglycerol kinase accessory domain,CL0701,NAD_kinase_C
PF00684,43,20,0,0.0,2.698,-2.698,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,DnaJ_CXXCXGXG,DnaJ central domain,CL0895,DnaJ_CRD
PF00690,43,20,0,0.0,2.698,-2.698,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,Cation_ATPase_N,"Cation transporter/ATPase, N-terminus",,
PF02881,43,20,0,0.0,2.698,-2.698,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,SRP54_N,"SRP54-type protein, helical bundle domain",,
PF03946,43,20,0,0.0,2.698,-2.698,1.0000000000000002,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,Ribosomal_L11_N,"Ribosomal protein L11, N-terminal domain",,
PF04194,43,20,0,0.0,2.698,-2.698,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,PDCD2_C,"Programmed cell death protein 2, C-terminal putative domain ",,
PF08669,43,20,0,0.0,2.698,-2.698,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,GCV_T_C,Glycine cleavage T-protein C-terminal barrel domain,CL0740,GCV_T_C
PF15801,43,20,0,0.0,2.698,-2.698,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,zf-C6H2,"zf-MYND-like zinc finger, mRNA-binding",CL0175,TRASH
PF16113,43,20,0,0.0,2.698,-2.698,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,ECH_2,Enoyl-CoA hydratase/isomerase,CL0127,ClpP_crotonase
PF21884,43,20,0,0.0,2.698,-2.698,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,ZUO1-like_ZHD,"Zuotin-like, zuotin homology domain",,
PF26557,43,20,0,0.0,2.698,-2.698,1.0000000000000002,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,Cullin_AB,Cullin alpha+beta domain,,
PF01139,43,20,0,0.0,2.699,-2.699,0.9999999999999997,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,RtcB,tRNA-splicing ligase RtcB,,
PF01302,43,20,0,0.0,2.699,-2.699,1.0000000000000004,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,CAP_GLY,CAP-Gly domain,CL0010,SH3
PF03630,43,20,0,0.0,2.699,-2.699,0.9999999999999998,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,Fumble,Fumble ,CL0108,Actin_ATPase
PF01111,43,20,0,0.0,2.7,-2.7,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,CKS,Cyclin-dependent kinase regulatory subunit,,
PF01119,43,20,0,0.0,2.7,-2.7,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,DNA_mis_repair,"DNA mismatch repair protein, C-terminal domain",CL0329,S5
PF01765,43,20,0,0.0,2.7,-2.7,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,RRF,Ribosome recycling factor,,
PF02732,43,20,0,0.0,2.7,-2.7,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,ERCC4,ERCC4 domain,CL0236,PDDEXK
PF02847,43,20,0,0.0,2.7,-2.7,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,MA3,MA3 domain,CL0020,TPR
PF03650,43,20,0,0.0,2.7,-2.7,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,MPC,Mitochondrial pyruvate carriers,CL0141,MtN3-like
PF03950,43,20,0,0.0,2.7,-2.7,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,tRNA-synt_1c_C,"tRNA synthetases class I (E and Q), anti-codon binding domain",CL0733,Ribosomal_L25
PF09335,43,20,0,0.0,2.7,-2.7,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,VTT_dom,VTT domain,,
PF15863,43,20,0,0.0,2.7,-2.7,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,EELM2,Extended EGL-27 and MTA1 homology domain,,
PF20974,43,20,0,0.0,2.7,-2.7,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,tRNA-synt_1c_C2,"tRNA synthetases class I (E and Q), anti-codon binding domain",CL0733,Ribosomal_L25
PF17780,11,11,9,0.45,11.701,-2.701,0.9291119534620191,4,3,0.4286,Laverania (ape); Laverania (human); avian,Plasmodium brasilianum; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium fragile; Plasmodium gonderi; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium vivax; Plasmodium yoelii,1.0,False,OCRE,OCRE domain,,
PF00163,43,20,0,0.0,2.703,-2.703,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,Ribosomal_S4,Ribosomal protein S4/S9 N-terminal domain,CL0492,S4
PF01480,43,20,0,0.0,2.703,-2.703,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,PWI,PWI domain,CL0805,PWI-like
PF04146,43,20,0,0.0,2.703,-2.703,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,YTH,YT521-B-like domain,CL0178,PUA
PF04153,43,20,0,0.0,2.703,-2.703,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,NOT2_3_5_C,NOT2/NOT3/NOT5 C-terminal,CL0010,SH3
PF08799,43,20,0,0.0,2.703,-2.703,1.0,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,PRP4,pre-mRNA processing factor 4 (PRP4) like,CL0306,HeH
