domain_accession,n_species,species_fraction,category,domain_name,description,clan_accession,clan_id
PF00350,1,0.0625,cloud,Dynamin_N,Dynamin family,CL0023,P-loop_NTPase
PF00349,1,0.0625,cloud,Hexokinase_1,Hexokinase,CL0108,Actin_ATPase
PF00342,1,0.0625,cloud,PGI,Phosphoglucose isomerase,CL0067,SIS
PF00317,1,0.0625,cloud,Ribonuc_red_lgN,"Ribonucleotide reductase, all-alpha domain",,
PF00271,1,0.0625,cloud,Helicase_C,Helicase conserved C-terminal domain,CL0023,P-loop_NTPase
PF00268,1,0.0625,cloud,Ribonuc_red_sm,"Ribonucleotide reductase, small chain",CL0044,Ferritin
PF00183,1,0.0625,cloud,HSP90,Hsp90 protein,,
PF00254,1,0.0625,cloud,FKBP_C,FKBP-type peptidyl-prolyl cis-trans isomerase,CL0487,FKBP
PF00244,1,0.0625,cloud,14-3-3,14-3-3 protein,CL0020,TPR
PF00241,1,0.0625,cloud,Cofilin_ADF,Cofilin/tropomyosin-type actin-binding protein,CL0092,ADF
PF00226,1,0.0625,cloud,DnaJ,DnaJ domain,CL0392,Chaperone-J
PF00216,1,0.0625,cloud,Bac_DNA_binding,Bacterial DNA-binding protein,CL0548,IHF-likeDNA-bdg
PF00204,1,0.0625,cloud,DNA_gyraseB,DNA gyrase B,CL0329,S5
PF01161,1,0.0625,cloud,PBP,Phosphatidylethanolamine-binding protein,,
PF01180,1,0.0625,cloud,DHO_dh,Dihydroorotate dehydrogenase,CL0036,TIM_barrel
PF01182,1,0.0625,cloud,Glucosamine_iso,Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase,CL0063,NADP_Rossmann
PF01233,1,0.0625,cloud,NMT,"Myristoyl-CoA:protein N-myristoyltransferase, N-terminal domain",CL0257,Acetyltrans
PF03357,1,0.0625,cloud,Snf7,Snf7,CL0235,PspA
PF03332,1,0.0625,cloud,PMM,Eukaryotic phosphomannomutase,CL0137,HAD
PF03144,1,0.0625,cloud,GTP_EFTU_D2,Elongation factor Tu domain 2,CL0866,ALR_C-like
PF03143,1,0.0625,cloud,GTP_EFTU_D3,Elongation factor Tu C-terminal domain,CL0740,GCV_T_C
PF03134,1,0.0625,cloud,TB2_DP1_HVA22,"TB2/DP1, HVA22 family",,
PF03129,1,0.0625,cloud,HGTP_anticodon,Anticodon binding domain,CL0458,IIaaRS-ABD
PF03104,1,0.0625,cloud,DNA_pol_B_exo1,"DNA polymerase family B, exonuclease domain",CL0219,RNase_H
PF03054,1,0.0625,cloud,tRNA_Me_trans,tRNA methyl transferase HUP domain,CL0039,HUP
PF03028,1,0.0625,cloud,Dynein_heavy,Dynein heavy chain region D6 P-loop domain ,CL0023,P-loop_NTPase
PF02874,1,0.0625,cloud,ATP-synt_ab_N,"ATP synthase alpha/beta family, beta-barrel domain",CL0866,ALR_C-like
PF02867,1,0.0625,cloud,Ribonuc_red_lgC,"Ribonucleotide reductase, barrel domain",CL0339,PFL-like
PF02852,1,0.0625,cloud,Pyr_redox_dim,"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain",CL0608,Reductase_C
PF02799,1,0.0625,cloud,NMT_C,"Myristoyl-CoA:protein N-myristoyltransferase, C-terminal domain",CL0257,Acetyltrans
PF02781,1,0.0625,cloud,G6PD_C,"Glucose-6-phosphate dehydrogenase, C-terminal domain",CL0139,GADPH_aa-bio_dh
PF02747,1,0.0625,cloud,PCNA_C,"Proliferating cell nuclear antigen, C-terminal domain",CL0060,DNA_clamp
PF03477,1,0.0625,cloud,ATP-cone,ATP cone domain,,
PF03483,1,0.0625,cloud,B3_4,B3/4 domain,CL0383,PheT-TilS
PF03484,1,0.0625,cloud,B5,tRNA synthetase B5 domain,CL0123,HTH
PF04118,1,0.0625,cloud,Dopey_N,"Dopey, N-terminal",CL0020,TPR
PF04990,1,0.0625,cloud,RNA_pol_Rpb1_7,"RNA polymerase Rpb1, domain 7",,
PF04983,1,0.0625,cloud,RNA_pol_Rpb1_3,"RNA polymerase Rpb1, domain 3",,
PF04758,1,0.0625,cloud,Ribosomal_S30,Ribosomal protein S30,,
PF04565,1,0.0625,cloud,RNA_pol_Rpb2_3,"RNA polymerase Rpb2, domain 3",,
PF04560,1,0.0625,cloud,RNA_pol_Rpb2_7,"RNA polymerase Rpb2, domain 7",,
PF04442,1,0.0625,cloud,CtaG_Cox11,Cytochrome c oxidase assembly protein CtaG/Cox11,,
PF04073,1,0.0625,cloud,tRNA_edit,Aminoacyl-tRNA editing domain,,
PF03607,1,0.0625,cloud,DCX,Doublecortin,CL0072,Ubiquitin
PF04051,1,0.0625,cloud,TRAPP,Transport protein particle (TRAPP) component,CL0210,HNOX-like
PF03998,1,0.0625,cloud,Utp11,Utp11 protein,,
PF03987,1,0.0625,cloud,Autophagy_act_C,"Autophagocytosis associated protein, active-site domain ",CL0097,TypeIII_Chap
PF03805,1,0.0625,cloud,CLAG,Cytoadherence-linked asexual protein,,
PF03727,1,0.0625,cloud,Hexokinase_2,Hexokinase,CL0108,Actin_ATPase
PF03643,1,0.0625,cloud,Vps26,Vacuolar protein sorting-associated protein 26 ,CL0135,Arrestin_N-like
PF02670,1,0.0625,cloud,DXP_reductoisom,1-deoxy-D-xylulose 5-phosphate reductoisomerase,CL0063,NADP_Rossmann
PF02580,1,0.0625,cloud,Tyr_Deacylase,D-Tyr-tRNA(Tyr) deacylase,,
PF02542,1,0.0625,cloud,YgbB,YgbB family,,
PF01504,1,0.0625,cloud,PIP5K,Phosphatidylinositol-4-phosphate 5-Kinase,CL0016,PKinase
PF01725,1,0.0625,cloud,Ham1p_like,Ham1 family,CL0269,Maf
PF01702,1,0.0625,cloud,TGT,Queuine tRNA-ribosyltransferase,CL0036,TIM_barrel
PF01658,1,0.0625,cloud,Inos-1-P_synth,Myo-inositol-1-phosphate synthase,CL0139,GADPH_aa-bio_dh
PF01612,1,0.0625,cloud,DNA_pol_A_exo1,3'-5' exonuclease,CL0219,RNase_H
PF01592,1,0.0625,cloud,NifU_N,NifU-like N terminal domain,CL0233,SufE_NifU
PF01535,1,0.0625,cloud,PPR,PPR repeat,CL0020,TPR
PF01467,1,0.0625,cloud,CTP_transf_like,Cytidylyltransferase-like,CL0039,HUP
PF01751,1,0.0625,cloud,Toprim,Toprim domain,CL0413,Toprim-like
PF01433,1,0.0625,cloud,Peptidase_M1,Peptidase family M1 domain,CL0126,Peptidase_MA
PF01409,1,0.0625,cloud,tRNA-synt_2d,tRNA synthetases class II core domain (F),CL0040,tRNA_synt_II
PF01388,1,0.0625,cloud,ARID,ARID/BRIGHT DNA binding domain,CL0123,HTH
PF01384,1,0.0625,cloud,PHO4,Phosphate transporter family,,
PF01321,1,0.0625,cloud,Creatinase_N,Creatinase/Prolidase N-terminal domain,CL0356,AMP_N-like
PF01248,1,0.0625,cloud,Ribosomal_L7Ae,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family,CL0101,PELOTA
PF01734,1,0.0625,cloud,Patatin,Patatin-like phospholipase,CL0323,Patatin
PF01780,1,0.0625,cloud,Ribosomal_L37ae,Ribosomal L37ae protein family,CL0167,Zn_Beta_Ribbon
PF02540,1,0.0625,cloud,NAD_synthase,NAD synthase,CL0039,HUP
PF02450,1,0.0625,cloud,LCAT,Lecithin:cholesterol acyltransferase,CL0028,AB_hydrolase
PF02526,1,0.0625,cloud,GBP_repeat,Glycophorin-binding protein,,
PF02518,1,0.0625,cloud,HATPase_c,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",CL0025,His_Kinase_A
PF02493,1,0.0625,cloud,MORN,MORN repeat,CL0251,MORN
PF02469,1,0.0625,cloud,Fasciclin,Fasciclin domain,,
PF02463,1,0.0625,cloud,SMC_N,RecF/RecN/SMC N terminal domain,CL0023,P-loop_NTPase
PF02460,1,0.0625,cloud,Patched,Patched SSD,CL0322,RND_permease
PF02401,1,0.0625,cloud,LYTB,LytB protein,,
PF01896,1,0.0625,cloud,DNA_primase_S,DNA primase small subunit,CL0243,AEP
PF02223,1,0.0625,cloud,Thymidylate_kin,Thymidylate kinase,CL0023,P-loop_NTPase
PF02212,1,0.0625,cloud,GED,Dynamin GTPase effector domain,,
PF02146,1,0.0625,cloud,SIR2,Sir2 family,CL0063,NADP_Rossmann
PF02127,1,0.0625,cloud,Peptidase_M18,Aminopeptidase I zinc metalloprotease (M18),CL0865,ZnExoPePases
PF01920,1,0.0625,cloud,Prefoldin_2,Prefoldin subunit,CL0200,Prefoldin
PF01918,1,0.0625,cloud,Alba,Alba,CL0441,AlbA
PF27846,1,0.0625,cloud,tSAM_targ_Cxxx_rpt,Modification target Cys-rich repeat,,
